link,Date,Name
https://web.facebook.com/MMushtaqYusufzai/posts/776480149433378?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/776257929455600?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/777143709367022?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/777074392707287?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/777655872649139?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/777417202673006?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://www.facebook.com/MMushtaqYusufzai/posts/777685362646190?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://www.facebook.com/MMushtaqYusufzai/posts/777682372646489?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://www.facebook.com/MMushtaqYusufzai/posts/778366082578118?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://www.facebook.com/MMushtaqYusufzai/posts/778342369247156?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/781163052298421?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/781162202298506?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/787958081618918?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/787951828286210?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/788563151558411?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/788324771582249?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/789781591436567?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/789434744804585?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/790423228039070?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/790101064737953?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/792053441209382?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/792039561210770?comment_tracking=%7B%22tn%22%3A%22O%22%7D,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/797498707331522,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/796772727404120,before 20-sep-2019,Mushtaq
https://web.facebook.com/MMushtaqYusufzai/posts/798443647237028,before 20-sep-2019,Mushtaq
