Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Benin,BEN,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,1375000,2705000,2402000,1880000,5438000,5269000,3362000,3020000,3177000,3409000,5829000,6925000,8572000,11845000,22178000,27314000,29761000,13941000,10250000,7150000,18448000,15301000,15054000,17867000,18895000,23257000,24082000,25455000,27660000,34898000,43210000,20306000,20707000,15187000,17739000,24091000,27016000,18226000,15979000,25249000,25107000,28922000,38962000,67552000,50873000,42823000,52757000,73392000
Burkina Faso,BFA,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,1752000,1546000,1504000,2315000,2503000,3716000,3094000,3763000,4542000,4678000,10606000,7568000,7695000,7484000,12216000,14951000,18681000,14264000,21241000,15751000,18247000,25125000,14615000,19833000,26976000,28610000,29909000,31204000,32383000,38452000,26232000,18355000,19341000,27648000,32645000,24750000,27178000,24865000,26853000,28117000,29871000,42615000,42862000,48361000,57876000,70163000,70800000,103545000
Bangladesh,BGD,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,0,0,0,6249000,16137000,57256000,41911000,50255000,63377000,55024000,33737000,56374000,69361000,71198000,93600000,107829000,142741000,169877000,214616000,198551000,333710000,272943000,288737000,266339000,304133000,510834000,367304000,382557000,354050000,408963000,488660000,424764000,447347000,412154000,451848000,574841000,482588000,744009000,669115000,770191000,837473000,1187421000,1155657000,1461211000,1572328000,1290311000,1348286000,1890767000
Bulgaria,BGR,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,25000000,85372000,191153000,253436000,960312000,1254852000,1573635000,1855728000,1904339000,864821000,129294000,138036000,84464000,449710000,319254000,478051000,380751000,586174000,626704000,526953000,502288000,753082000,526923000,1765438000,3349214000,2601030000,4440097000,3960220000,3989298000,3550038000,3566611000,3777178000,5200996000,4434272000,7172935000,5786642000,3048362000
Bahrain,BHR,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3945000,170846000,199698000,70486000,71075000,73232000,95232000,98608000,109334000,136512000,329623000,1292714000,594250000,809546000,668820000,989388000,1494819000,2214719000,1771047000
Belarus,BLR,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001000,87170000,107935000,58937000,69367000,60468000,90305000,205703000,189318000,249185000,299312000,240064000,510513000,482473000,757305000,858203000,1283224000,1265261000,2347413000,3419029000,1938350000,2973877000,4033660000,4679917000,4317021000
Belize,BLZ,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,0,5000,30000,199000,192000,180000,157000,151000,133000,236000,572000,1512000,3192000,4151000,3162000,10079000,8241000,7980000,8313000,6289000,9049000,10585000,10307000,11504000,16692000,25384000,27330000,25464000,25042000,24525000,41182000,48148000,139449000,86075000,254461000,155456000,72688000,584969000,86891000,68816000,68760000,72213000,102816000,101697000,46933000,50288000,51181000,117822000
Bermuda,BMU,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
